state,year,first_name,last_name,party,sex,died,status,win_margin,region,outcome,election_age,death_age,lived_after
Arkansas,1896,H.,Remmel,Republican,Male,1927-10-14,Challenger,-43.54199651834171,South,Lose,44.80766598220397,75.74264202600958,30.934976043805612
Arkansas,1898,Daniel,Jones,Democrat,Male,1918-12-25,Challenger,46.49196135228135,South,Win,58.8911704312115,79.02532511978097,20.134154688569474
Arkansas,1900,Jefferson,Davis,Democrat,Male,1889-12-06,Challenger,37.06209360043917,South,Win,92.42162902121834,81.50855578370978,-10.913073237508556
Arkansas,1900,H.,Remmel,Republican,Male,1927-10-14,Challenger,-37.06209360043917,South,Lose,48.80492813141684,75.74264202600958,26.937713894592743
Arkansas,1902,Jefferson,Davis,Democrat,Male,1889-12-06,Challenger,45.122649031471326,South,Win,94.42026009582477,81.50855578370978,-12.91170431211499
Arkansas,1904,Jefferson,Davis,Democrat,Male,1889-12-06,Challenger,25.22526897010981,South,Win,96.42162902121834,81.50855578370978,-14.913073237508556
Arkansas,1906,John,Little,Democrat,Male,1916-10-29,Challenger,43.38618231200135,South,Win,55.6413415468857,65.62354551676934,9.982203969883642
Arkansas,1908,George,Donaghey,Democrat,Male,1937-12-15,Challenger,42.217013027994405,South,Win,52.34496919917864,81.45379876796714,29.1088295687885
Arkansas,1910,George,Donaghey,Democrat,Male,1937-12-15,Challenger,43.639473572609944,South,Win,54.34360027378508,81.45379876796714,27.110198494182068
Arkansas,1910,Andrew,Roland,Republican,Male,1939-07-06,Challenger,-43.639473572609944,South,Lose,39.73990417522245,68.40520191649556,28.6652977412731
Arkansas,1912,Joseph,Robinson,Democrat,Male,1937-07-14,Challenger,40.562505999424054,South,Win,40.19164955509925,64.8788501026694,24.687200547570157
Arkansas,1912,Andrew,Roland,Republican,Male,1939-07-06,Challenger,-40.562505999424054,South,Lose,41.74127310061601,68.40520191649556,26.663928815879533
Arkansas,1914,George,Hays,Democrat,Male,1927-09-15,Challenger,50.52042529378846,South,Win,51.115674195756334,63.97535934291581,12.85968514715948
Arkansas,1916,Charles,Brough,Democrat,Male,1935-12-26,Challenger,47.03380641430328,South,Win,40.323066392881586,59.460643394934976,19.137577002053387
Arkansas,1916,Wallace,Townsend,Republican,Male,1979-01-07,Challenger,-47.03380641430328,South,Lose,34.209445585215605,96.38056125941137,62.171115674195754
Arkansas,1918,Charles,Brough,Democrat,Male,1935-12-26,Challenger,86.86835470788118,South,Win,42.32169746748802,59.460643394934976,17.138945927446954
Arkansas,1918,Clay,Fulks,Third party,Male,1964-07-01,Challenger,-86.86835470788118,South,Lose,38.34360027378508,83.99726214921287,45.65366187542779
Arkansas,1920,Thomas,Mcrae,Democrat,Male,1929-06-02,Challenger,45.46641802020156,South,Win,68.87337440109513,77.44558521560575,8.572210814510608
Arkansas,1920,Wallace,Townsend,Republican,Male,1979-01-07,Challenger,-45.46641802020156,South,Lose,38.209445585215605,96.38056125941137,58.171115674195754
Arkansas,1922,John,Grabiel,Republican,Male,1928-04-13,Challenger,-56.17844144889958,South,Lose,55.63586584531143,61.073237508555785,5.437371663244353
Arkansas,1922,Thomas,Mcrae,Democrat,Male,1929-06-02,Incumbent,56.17844144889958,South,Win,70.87200547570157,77.44558521560575,6.573579739904175
Arkansas,1924,John,Grabiel,Republican,Male,1928-04-13,Challenger,-59.67615230460922,South,Lose,57.637234770705,61.073237508555785,3.436002737850787
Arkansas,1924,Thomas,Terral,Democrat,Male,1946-03-09,Challenger,59.67615230460922,South,Win,41.87268993839836,63.21149897330596,21.338809034907598
Arkansas,1926,John,Martineau,Democrat,Male,1937-03-06,Challenger,52.89055951383068,South,Win,52.92265571526352,63.25530458590007,10.33264887063655
Arkansas,1928,Harvey,Parnell,Democrat,Male,1936-01-16,Challenger,54.612610042386684,South,Win,48.68446269678302,55.879534565366185,7.195071868583162
Arkansas,1930,Harvey,Parnell,Democrat,Male,1936-01-16,Challenger,62.359271701832256,South,Win,50.68309377138946,55.879534565366185,5.196440793976728
Arkansas,1932,Julius,Futrell,Democrat,Male,1955-06-20,Challenger,82.06020572031682,South,Win,62.2258726899384,84.84599589322382,22.62012320328542
Arkansas,1934,Julius,Futrell,Democrat,Male,1955-06-20,Challenger,80.90086933672016,South,Win,64.22450376454483,84.84599589322382,20.621492128678987
Arkansas,1936,Carl,Bailey,Democrat,Male,1948-10-23,Challenger,70.47141358150165,South,Win,42.07529089664613,54.039698836413415,11.964407939767282
Arkansas,1936,Osro,Cobb,Republican,Male,1996-01-18,Challenger,-70.47141358150165,South,Lose,32.440793976728266,91.6413415468857,59.200547570157426
